date,meal,calories_kcal,protein_g,carbohydrates_g,fat_g,fiber_g,sugar_g,sodium_mg,water_ml,food_notes
2024-09-02,Breakfast,677,47.4,76.1,20.3,9.0,11.6,696,694,
2024-09-02,Lunch,919,64.3,103.4,27.6,12.2,15.8,946,942,
2024-09-02,Dinner,661,46.2,74.3,19.8,8.8,11.3,680,677,
2024-09-02,Snacks,276,19.3,31.0,8.3,3.7,4.7,284,283,
2024-09-03,Breakfast,541,37.9,60.8,16.2,4.4,9.9,428,548,
2024-09-03,Lunch,1176,82.3,132.3,35.3,9.6,21.5,931,1193,
2024-09-03,Dinner,708,49.6,79.7,21.2,5.8,13.0,560,718,
2024-09-03,Snacks,294,20.5,33.0,8.8,2.4,5.4,232,298,
2024-09-04,Breakfast,539,37.7,60.6,16.2,9.3,6.3,399,595,
2024-09-04,Lunch,913,63.9,102.7,27.4,15.7,10.8,675,1008,
2024-09-04,Dinner,960,67.2,107.9,28.8,16.5,11.3,709,1060,
2024-09-04,Snacks,124,8.7,13.9,3.7,2.1,1.5,91,137,
2024-09-06,Breakfast,465,32.5,52.3,13.9,6.8,9.5,318,585,
2024-09-06,Lunch,707,49.5,79.6,21.2,10.4,14.5,484,891,
2024-09-06,Snacks,145,10.2,16.4,4.4,2.1,3.0,99,183,
2024-09-07,Breakfast,485,33.9,54.5,14.5,6.6,9.0,401,575,
2024-09-07,Lunch,910,63.7,102.3,27.3,12.5,16.9,752,1079,
2024-09-07,Dinner,765,53.5,86.1,22.9,10.5,14.2,633,908,
2024-09-07,Snacks,135,9.4,15.2,4.0,1.8,2.5,112,160,
2024-09-08,Breakfast,601,42.1,67.6,18.0,7.9,11.8,553,668,
2024-09-08,Lunch,799,55.9,89.9,24.0,10.5,15.7,735,889,
2024-09-08,Dinner,510,35.7,57.3,15.3,6.7,10.0,469,567,
2024-09-08,Snacks,248,17.3,27.8,7.4,3.3,4.9,228,275,
2024-09-09,Breakfast,585,40.9,65.8,17.5,7.1,14.2,562,659,
2024-09-09,Lunch,685,48.0,77.1,20.5,8.3,16.6,659,772,
2024-09-09,Dinner,806,56.4,90.6,24.2,9.8,19.5,774,908,
2024-09-09,Snacks,317,22.2,35.7,9.5,3.8,7.7,305,358,
2024-09-10,Breakfast,471,33.0,53.0,14.1,6.9,7.7,511,499,
2024-09-10,Lunch,774,54.2,87.1,23.2,11.4,12.6,840,820,
2024-09-10,Dinner,790,55.3,88.8,23.7,11.6,12.8,856,837,
2024-09-10,Snacks,172,12.0,19.3,5.2,2.5,2.8,186,182,
2024-09-11,Breakfast,785,55.0,88.3,23.6,4.8,14.9,565,826,
2024-09-11,Lunch,786,55.0,88.4,23.6,4.8,14.9,566,826,
2024-09-11,Dinner,777,54.4,87.4,23.3,4.8,14.8,559,817,
2024-09-11,Snacks,478,33.5,53.8,14.3,2.9,9.1,344,503,
2024-09-12,Breakfast,533,37.4,60.0,16.0,6.2,8.4,376,697,
2024-09-12,Lunch,822,57.6,92.5,24.7,9.6,12.9,579,1075,
2024-09-12,Dinner,601,42.0,67.6,18.0,7.0,9.4,423,785,
2024-09-12,Snacks,273,19.1,30.7,8.2,3.2,4.3,192,357,
2024-09-13,Breakfast,589,41.2,66.3,17.7,8.1,13.6,422,515,
2024-09-13,Lunch,974,68.2,109.6,29.2,13.5,22.6,698,852,
2024-09-13,Dinner,767,53.7,86.2,23.0,10.6,17.8,549,671,
2024-09-14,Breakfast,660,46.2,74.3,19.8,6.5,6.8,580,767,
2024-09-14,Lunch,1018,71.3,114.5,30.5,10.0,10.5,894,1182,
2024-09-14,Dinner,604,42.3,67.9,18.1,5.9,6.2,530,701,
2024-09-14,Snacks,219,15.4,24.7,6.6,2.2,2.3,193,255,
2024-09-15,Breakfast,693,48.5,78.0,20.8,7.4,13.4,574,677,
2024-09-15,Lunch,730,51.1,82.1,21.9,7.8,14.1,605,712,
2024-09-15,Dinner,781,54.7,87.9,23.4,8.3,15.1,647,763,
2024-09-15,Snacks,188,13.2,21.1,5.6,2.0,3.6,156,183,
2024-09-17,Breakfast,463,32.4,52.1,13.9,4.5,7.7,308,430,
2024-09-17,Lunch,985,69.0,110.9,29.6,9.6,16.4,656,916,
2024-09-17,Dinner,850,59.5,95.6,25.5,8.3,14.2,566,790,
2024-09-17,Snacks,244,17.1,27.4,7.3,2.4,4.1,162,227,
2024-09-18,Breakfast,447,31.3,50.3,13.4,5.4,6.1,529,631,
2024-09-18,Lunch,627,43.9,70.5,18.8,7.6,8.5,742,885,
2024-09-18,Dinner,584,40.9,65.7,17.5,7.1,7.9,691,825,
2024-09-18,Snacks,179,12.5,20.2,5.4,2.2,2.4,212,253,
2024-09-19,Breakfast,496,34.7,55.7,14.9,5.0,8.7,399,432,
2024-09-19,Lunch,717,50.2,80.7,21.5,7.3,12.5,578,625,
2024-09-19,Dinner,668,46.8,75.2,20.1,6.8,11.7,538,582,
2024-09-20,Breakfast,424,29.7,47.7,12.7,5.4,10.6,388,500,
2024-09-20,Lunch,875,61.2,98.4,26.2,11.2,21.9,801,1030,
2024-09-20,Dinner,666,46.6,75.0,20.0,8.5,16.7,610,785,
2024-09-20,Snacks,312,21.8,35.1,9.4,4.0,7.8,286,368,
2024-09-21,Breakfast,562,39.3,63.2,16.9,7.0,8.2,405,781,
2024-09-21,Lunch,724,50.6,81.4,21.7,9.1,10.6,522,1006,
2024-09-21,Dinner,631,44.1,70.9,18.9,7.9,9.2,455,877,
2024-09-21,Snacks,282,19.8,31.8,8.5,3.5,4.1,204,393,
2024-09-22,Breakfast,581,40.7,65.4,17.4,4.7,6.3,371,488,
2024-09-22,Lunch,1052,73.6,118.3,31.5,8.6,11.4,671,883,
2024-09-22,Dinner,890,62.3,100.2,26.7,7.3,9.7,568,747,
2024-09-22,Snacks,345,24.1,38.8,10.3,2.8,3.8,220,289,
2024-09-23,Breakfast,553,38.7,62.3,16.6,6.3,8.5,394,546,
2024-09-23,Lunch,902,63.1,101.4,27.0,10.3,13.8,642,890,
2024-09-23,Dinner,719,50.4,80.9,21.6,8.2,11.0,512,710,
2024-09-23,Snacks,340,23.8,38.3,10.2,3.9,5.2,242,336,
2024-09-24,Breakfast,657,46.0,73.9,19.7,9.0,14.0,556,836,
2024-09-24,Lunch,645,45.2,72.6,19.3,8.8,13.8,546,821,
2024-09-24,Dinner,663,46.4,74.5,19.9,9.0,14.1,561,843,
2024-09-24,Snacks,260,18.2,29.3,7.8,3.6,5.5,220,331,
2024-09-25,Breakfast,521,36.4,58.6,15.6,6.1,8.5,513,587,
2024-09-25,Lunch,630,44.1,70.9,18.9,7.4,10.3,620,710,
2024-09-25,Snacks,177,12.4,19.9,5.3,2.1,2.9,174,199,
2024-09-26,Breakfast,487,34.1,54.8,14.6,7.3,10.6,410,343,
2024-09-26,Lunch,793,55.6,89.3,23.8,11.9,17.3,668,558,
2024-09-26,Dinner,725,50.8,81.6,21.8,10.9,15.8,611,511,
2024-09-26,Snacks,266,18.6,30.0,8.0,4.0,5.8,224,187,
2024-09-27,Breakfast,574,40.2,64.6,17.2,7.4,11.8,526,589,
2024-09-27,Lunch,817,57.2,91.9,24.5,10.5,16.7,748,838,
2024-09-27,Dinner,932,65.3,104.9,28.0,12.0,19.1,854,957,
2024-09-27,Snacks,134,9.4,15.1,4.0,1.7,2.7,123,138,
2024-09-28,Breakfast,560,39.2,63.0,16.8,7.5,10.9,458,545,
2024-09-28,Lunch,844,59.1,94.9,25.3,11.4,16.5,690,821,
2024-09-28,Dinner,597,41.8,67.1,17.9,8.0,11.7,488,581,
2024-09-28,Snacks,322,22.5,36.2,9.7,4.3,6.3,263,313,
2024-09-29,Breakfast,724,50.7,81.4,21.7,8.6,9.5,466,579,
2024-09-29,Lunch,798,55.9,89.8,24.0,9.4,10.5,514,638,
2024-09-29,Dinner,723,50.6,81.3,21.7,8.5,9.5,466,578,
2024-09-29,Snacks,156,10.9,17.6,4.7,1.8,2.1,101,125,
2024-09-30,Lunch,783,54.8,88.1,23.5,12.4,12.5,704,824,
2024-09-30,Dinner,762,53.4,85.8,22.9,12.1,12.2,686,803,
2024-09-30,Snacks,254,17.7,28.5,7.6,4.0,4.1,228,267,
2024-10-02,Breakfast,578,40.4,65.0,17.3,7.0,10.5,471,619,
2024-10-02,Lunch,556,38.9,62.5,16.7,6.7,10.1,453,596,
2024-10-02,Snacks,276,19.3,31.1,8.3,3.3,5.0,225,296,
2024-10-03,Breakfast,684,47.9,77.0,20.5,6.8,9.8,600,609,
2024-10-03,Dinner,743,52.0,83.6,22.3,7.4,10.7,651,661,
2024-10-03,Snacks,372,26.0,41.8,11.1,3.7,5.3,326,331,
2024-10-04,Breakfast,584,40.9,65.7,17.5,6.8,6.3,506,653,
2024-10-04,Lunch,862,60.4,97.0,25.9,10.1,9.3,748,965,
2024-10-04,Dinner,513,35.9,57.7,15.4,6.0,5.5,445,574,
2024-10-04,Snacks,267,18.7,30.1,8.0,3.1,2.9,232,299,
