student_id,sleep_start_time,sleep_end_time,sleep_duration_hrs,sleep_needed_hrs,sleep_performance_pct,sleep_efficiency_pct,rem_sleep_hrs,sws_deep_sleep_hrs,light_sleep_hrs,awake_hrs,sleep_consistency_pct,respiratory_rate_rpm
S001,2024-09-02T23:09:00,2024-09-03T08:26:00,7.64,7.89,96.9,90,1.8,1.31,4.16,0.38,79.17323731,15
S001,2024-09-03T21:35:00,2024-09-04T06:31:00,7.43,7.59,97.8,91.2,0.99,1.18,4.09,1.17,70.13397948,16.2
S001,2024-09-04T22:35:00,2024-09-05T08:26:00,8.18,7.53,100,97.8,1.2,1.26,4.5,1.23,72.76343249,15.5
S001,2024-09-05T21:18:00,2024-09-06T05:17:00,7.32,8.25,88.8,82.1,1.68,1.35,3.93,0.37,73.55902275,16.4
S001,2024-09-06T22:49:00,2024-09-07T07:34:00,7.92,7.49,100,89,1.38,1.01,4.36,1.17,70.93832128,15.9
S001,2024-09-07T23:48:00,2024-09-08T06:19:00,7.67,7.9,97,80.6,1.83,1.37,4.08,0.38,74.16941108,15.7
S001,2024-09-08T21:51:00,2024-09-09T07:55:00,7.72,8.79,87.8,98.3,2.02,1.81,3.51,0.39,86.75127367,15.6
S001,2024-09-09T21:36:00,2024-09-10T07:34:00,7.11,8.11,87.7,90.8,1.62,1.47,3.67,0.36,69.10270696,16.7
S001,2024-09-10T23:52:00,2024-09-11T05:08:00,7.45,8.56,87.1,86.8,1.87,1.89,3.33,0.37,44.82242844,17
S001,2024-09-11T21:15:00,2024-09-12T06:45:00,7.6,9.09,83.6,78.8,1.78,1.25,4.18,0.39,68.03885508,16.3
S001,2024-09-12T21:40:00,2024-09-13T05:25:00,8.08,7.67,100,93.3,2.13,1.24,4.3,0.4,63.62662329,15.2
S001,2024-09-13T21:55:00,2024-09-14T05:46:00,7.76,8.35,92.9,85.8,1.97,1.31,4.09,0.39,88.77330259,15.6
S001,2024-09-14T22:17:00,2024-09-15T07:53:00,7.48,7.26,100,89.7,1.36,1.89,3.86,0.37,67.54438757,15.6
S001,2024-09-15T21:02:00,2024-09-16T05:40:00,8.42,8.53,98.6,96.6,2.02,0.82,4.63,0.94,74.81345954,15
S001,2024-09-16T23:58:00,2024-09-17T06:56:00,8.5,8.56,99.4,87.8,1.87,1.75,4.45,0.43,69.89694844,15.6
S001,2024-09-17T22:42:00,2024-09-18T06:03:00,7.56,8.29,91.2,86,1.53,1.17,4.16,0.7,63.85074623,16.2
S001,2024-09-18T21:37:00,2024-09-19T06:33:00,7.69,7.72,99.5,82.8,1.29,1.73,4.23,0.43,72.0932279,15.8
S001,2024-09-19T21:30:00,2024-09-20T05:14:00,7.74,7.75,99.8,77.6,2.03,1.37,3.96,0.39,57.57500718,16.6
S001,2024-09-20T21:41:00,2024-09-21T06:04:00,8.15,8.21,99.3,90.4,1.67,1.55,4.48,0.45,52.14497118,15.7
S001,2024-09-21T21:58:00,2024-09-22T08:39:00,7.79,7.75,100,82.8,1.64,0.97,4.28,0.9,62.76553219,14.5
S001,2024-09-22T22:50:00,2024-09-23T06:15:00,8,8.1,98.8,88.1,1.33,0.83,4.4,1.44,92.53871237,15.8
S001,2024-09-23T23:01:00,2024-09-24T07:13:00,8.01,7.49,100,85.3,1.33,1.09,4.4,1.19,57.76542121,15.7
S001,2024-09-24T21:15:00,2024-09-25T08:40:00,7.79,7.67,100,99,1.94,1.75,3.71,0.39,68.05940015,15.1
S001,2024-09-25T23:26:00,2024-09-26T07:34:00,7.46,9.17,81.4,85.5,1.79,1.28,4.02,0.37,63.67545207,14.7
