student_id,workout_start_time,sport,workout_strain,duration_min,avg_heart_rate_bpm,max_heart_rate_bpm,calories_burned,distance_km
S003,2024-09-02T10:40:00,Basketball,7.32,11,135,166,83,
S003,2024-09-05T07:38:00,Swimming,5.6,19,123,163,180,4.85
S003,2024-09-08T10:10:00,Yoga,10.06,18,137,178,150,5.79
S003,2024-09-09T11:03:00,Weightlifting,7.92,10,156,166,101,
S003,2024-09-10T15:48:00,Cycling,4.66,10,111,164,91,
S003,2024-09-13T06:08:00,Yoga,4.33,10,127,167,106,6.05
S003,2024-09-14T18:57:00,Yoga,6.45,10,139,156,80,2.52
S003,2024-09-16T19:08:00,Running,6.51,13,141,161,109,
S003,2024-09-21T19:07:00,Cycling,6.9,15,156,181,114,
S003,2024-09-23T06:49:00,HIIT,5.43,18,133,170,140,
S003,2024-09-25T10:02:00,Running,7.96,20,139,171,174,5.59
S003,2024-09-27T08:54:00,Swimming,6.79,15,174,161,116,5.97
S003,2024-09-29T15:48:00,Running,6.19,16,117,167,139,4.73
S003,2024-09-30T14:54:00,Swimming,6.32,10,117,172,89,
S003,2024-10-03T18:20:00,Running,9.77,10,139,158,84,3.94
S003,2024-10-05T13:38:00,Swimming,8.28,10,141,160,118,3.44
S003,2024-10-07T13:43:00,Weightlifting,6.47,39,152,186,503,6.7
S003,2024-10-09T15:06:00,Swimming,8.34,26,152,195,156,
S003,2024-10-11T07:14:00,Basketball,2,10,124,175,82,1.61
S003,2024-10-15T13:32:00,Weightlifting,4.57,10,150,179,93,
S003,2024-10-17T13:43:00,Running,8.63,16,112,180,126,6.6
S003,2024-10-18T18:31:00,Basketball,9.3,36,152,162,296,2.5
S003,2024-10-20T12:56:00,Running,6.94,38,143,164,339,
S003,2024-10-21T19:49:00,Weightlifting,9.52,21,147,166,144,
S003,2024-10-24T13:30:00,Yoga,7.75,10,134,177,80,
S003,2024-10-25T11:49:00,Weightlifting,9.74,15,138,172,161,
S003,2024-10-27T07:27:00,Weightlifting,8.09,27,131,180,210,
S003,2024-10-28T07:58:00,Swimming,7.19,28,152,173,222,
S003,2024-10-29T12:17:00,Running,7.36,28,125,166,172,3.57
S003,2024-11-01T14:51:00,Basketball,8.4,13,128,167,94,
S003,2024-11-03T07:53:00,Basketball,3.46,10,128,168,128,6.97
S003,2024-11-04T19:37:00,Running,6.98,13,130,166,80,4.0
S003,2024-11-05T14:51:00,Weightlifting,10.32,28,123,175,240,6.93
S003,2024-11-06T06:40:00,Swimming,7.13,10,130,169,80,5.01
S003,2024-11-08T19:49:00,HIIT,4.66,10,162,164,89,5.49
S003,2024-11-09T19:27:00,HIIT,6.94,10,128,187,89,5.53
S003,2024-11-12T07:09:00,Cycling,5.38,11,166,173,80,7.14
S003,2024-11-13T10:08:00,Running,8.13,13,139,188,101,3.95
S003,2024-11-15T07:20:00,Yoga,10.95,21,138,173,232,3.81
S003,2024-11-17T09:07:00,Yoga,9.08,10,137,147,80,4.48
S003,2024-11-19T07:49:00,Basketball,8.12,12,129,187,94,1.39
S003,2024-11-21T10:28:00,HIIT,8.11,23,139,183,152,5.12
S003,2024-11-22T10:56:00,Basketball,4.33,26,153,166,195,
