date,meal,calories_kcal,protein_g,carbohydrates_g,fat_g,fiber_g,sugar_g,sodium_mg,water_ml,food_notes
2024-09-02,Lunch,1310,45.9,180.2,45.1,6.3,69.9,1481,619,
2024-09-02,Dinner,954,33.4,131.2,32.9,4.6,50.9,1078,451,
2024-09-02,Snacks,284,9.9,39.1,9.8,1.4,15.1,321,134,
2024-09-05,Lunch,745,26.1,102.4,25.6,3.4,44.6,1216,476,
2024-09-05,Snacks,184,6.4,25.2,6.3,0.8,11.0,300,117,
2024-09-08,Lunch,982,34.4,135.0,33.8,3.5,17.3,1516,513,
2024-09-09,Breakfast,713,24.9,98.0,24.5,2.4,19.6,651,428,
2024-09-09,Lunch,1003,35.1,137.9,34.5,3.3,27.6,917,603,
2024-09-09,Snacks,476,16.7,65.4,16.4,1.6,13.1,435,286,
2024-09-11,Lunch,659,23.1,90.6,22.7,3.9,32.2,1038,496,
2024-09-11,Dinner,608,21.3,83.6,20.9,3.6,29.7,958,458,
2024-09-11,Snacks,178,6.2,24.5,6.1,1.1,8.7,281,134,
2024-09-15,Breakfast,787,27.6,108.2,27.1,3.9,21.0,884,196,
2024-09-15,Lunch,1519,53.2,208.9,52.3,7.6,40.6,1707,378,
2024-09-15,Dinner,1226,42.9,168.5,42.2,6.1,32.7,1377,305,
2024-09-16,Breakfast,704,24.6,96.7,24.2,0.5,30.1,733,280,
2024-09-16,Lunch,977,34.2,134.4,33.7,0.7,41.9,1018,389,
2024-09-16,Snacks,136,4.8,18.8,4.7,0.1,5.8,142,54,
2024-09-17,Breakfast,680,23.8,93.6,23.4,4.3,33.1,1189,576,
2024-09-17,Lunch,844,29.5,116.0,29.0,5.3,41.0,1474,714,
2024-09-17,Dinner,617,21.6,84.8,21.2,3.9,30.0,1078,522,
2024-09-17,Snacks,402,14.1,55.3,13.8,2.5,19.5,702,340,
2024-09-18,Breakfast,533,18.7,73.3,18.4,2.0,25.4,836,191,
2024-09-18,Lunch,825,28.9,113.5,28.4,3.0,39.4,1294,295,
2024-09-19,Breakfast,316,11.1,43.4,10.9,0.8,15.2,860,305,
2024-09-19,Dinner,450,15.8,61.9,15.5,1.1,21.6,1226,435,
2024-09-27,Breakfast,572,20.0,78.6,19.7,2.9,24.4,740,220,
2024-09-27,Lunch,1024,35.9,140.8,35.3,5.2,43.6,1325,393,
2024-09-27,Snacks,143,5.0,19.7,4.9,0.7,6.1,185,55,
2024-10-01,Lunch,964,33.7,132.5,33.2,5.2,40.9,1054,268,
2024-10-01,Dinner,540,18.9,74.2,18.6,2.9,22.9,590,150,
2024-10-02,Breakfast,473,16.6,65.1,16.3,2.0,23.2,659,180,
2024-10-02,Lunch,640,22.4,88.0,22.1,2.7,31.3,891,244,
2024-10-02,Dinner,888,31.1,122.1,30.6,3.8,43.4,1236,338,
2024-10-02,Snacks,384,13.5,52.8,13.2,1.6,18.8,535,146,
2024-10-03,Breakfast,694,24.3,95.4,23.9,1.3,33.3,852,339,
2024-10-03,Dinner,758,26.5,104.2,26.1,1.4,36.4,931,370,
2024-10-03,Snacks,302,10.6,41.6,10.4,0.6,14.5,371,148,
2024-10-05,Breakfast,458,16.0,62.9,15.8,4.6,19.6,752,287,
2024-10-05,Lunch,418,14.6,57.5,14.4,4.2,17.9,688,263,
2024-10-05,Dinner,456,16.0,62.7,15.7,4.6,19.5,750,286,
2024-10-05,Snacks,241,8.4,33.1,8.3,2.4,10.3,396,151,
2024-10-07,Breakfast,586,20.5,80.5,20.2,2.9,40.8,911,610,
2024-10-07,Dinner,512,17.9,70.4,17.6,2.5,35.7,796,533,
2024-10-07,Snacks,90,3.2,12.4,3.1,0.4,6.3,140,94,
2024-10-08,Breakfast,440,15.4,60.5,15.2,1.7,17.4,842,287,
2024-10-08,Lunch,742,26.0,102.0,25.6,2.8,29.3,1419,483,
2024-10-08,Dinner,789,27.6,108.5,27.2,3.0,31.2,1508,514,
2024-10-09,Breakfast,710,24.9,97.7,24.5,0.8,21.0,894,365,
2024-10-09,Lunch,972,34.0,133.6,33.5,1.1,28.7,1224,500,
2024-10-09,Dinner,925,32.4,127.1,31.8,1.1,27.3,1164,475,
2024-10-09,Snacks,173,6.0,23.7,5.9,0.2,5.1,217,89,
2024-10-10,Breakfast,676,23.6,92.9,23.3,1.5,25.5,554,391,
2024-10-10,Lunch,1016,35.5,139.7,35.0,2.3,38.4,832,588,
2024-10-11,Breakfast,728,25.5,100.2,25.1,1.3,14.0,1003,200,
2024-10-11,Lunch,871,30.5,119.8,30.0,1.5,16.8,1200,239,
2024-10-11,Dinner,820,28.7,112.8,28.3,1.4,15.8,1130,225,
2024-10-11,Snacks,598,20.9,82.2,20.6,1.0,11.5,824,164,
2024-10-14,Breakfast,667,23.4,91.8,23.0,3.1,32.6,899,252,
2024-10-14,Lunch,777,27.2,106.8,26.8,3.6,37.9,1046,293,
2024-10-14,Dinner,595,20.8,81.9,20.5,2.8,29.1,802,225,
2024-10-14,Snacks,165,5.8,22.7,5.7,0.8,8.0,222,62,
2024-10-18,Lunch,945,33.1,130.0,32.6,2.3,38.6,1032,440,
2024-10-18,Snacks,171,6.0,23.5,5.9,0.4,7.0,187,80,
2024-10-22,Breakfast,479,16.8,65.9,16.5,2.1,25.6,780,100,
2024-10-22,Lunch,896,31.4,123.2,30.9,3.9,47.9,1458,187,
2024-10-24,Breakfast,608,21.3,83.5,20.9,1.0,30.3,630,150,
2024-10-24,Dinner,677,23.7,93.0,23.3,1.2,33.7,701,167,
2024-10-25,Breakfast,383,13.4,52.7,13.2,1.6,15.3,402,200,
2024-10-25,Lunch,987,34.6,135.7,34.0,4.2,39.5,1036,515,
2024-10-25,Snacks,230,8.1,31.7,7.9,1.0,9.2,242,120,
2024-10-29,Lunch,1208,42.3,166.1,41.6,4.4,43.8,1770,655,
2024-10-29,Snacks,501,17.5,68.9,17.3,1.8,18.2,734,272,
2024-10-30,Dinner,1073,37.6,147.6,37.0,0.8,33.1,1106,358,
2024-11-03,Lunch,936,32.7,128.7,32.2,2.8,27.2,1218,551,
2024-11-05,Breakfast,596,20.8,81.9,20.5,0.8,20.5,375,242,
2024-11-05,Lunch,1016,35.6,139.7,35.0,1.3,34.9,641,413,
2024-11-05,Snacks,402,14.0,55.2,13.8,0.5,13.8,253,163,
